BuilderCompany;BuilderCompanyCode;BuilderObjectRu;BuildFinishDate;PDChangesBuildFinishDate
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АРКАДА;RDM_0726054810;Московская область, Щелковский район, п. Клюквенный, д. 6 (по генплану);31.12.2020 0:00:00;31.12.2021 0:00:00
АО МОСОТДЕЛСТРОЙ № 1;RDM_0230260727;г. Москва, ЮАО, ул. 6-я Радиальная, вл.7, корпус 30;;31.05.2023 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АРКАДА;RDM_0726054810;Московская область, Щелковский муниципальный район, сельское поселение Огудневское, пос. Клюквенный, дом №6;31.12.2020 0:00:00;31.12.2021 0:00:00
ООО Орион;RDM_1530506636;г. Москва, ул. Дыбенко, вл.7/1, корпус здания № 4;30.03.2021 0:00:00;30.09.2021 0:00:00
АО Специализированный застройщик ПКС Девелопмент;RDM_1954298348;Московская область, Наро-Фоминский район, г. Апрелевка, ул. Декабристов, д. 40;31.12.2021 0:00:00;31.03.2023 0:00:00
ООО Загородная Усадьба;465;Московская область, район Мытищинский, городское поселение Мытищи, город Мытищи, корп. 49;31.12.2020 0:00:00;31.12.2021 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЖИЛСТРОЙ;RDM_2841603772;Воронежская обл., г. Воронеж, Ленинский проспект, 215в;30.03.2022 0:00:00;31.12.2021 0:00:00
ООО АВА ДЕВЕЛОПМЕНТ ПЛЮС;RDM_1459225956;Российская Федерация, Краснодарский край, г. Краснодар, ул. им. Валерия Гассия, 4/7, литер 2;30.06.2020 0:00:00;30.09.2022 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК РЕЗИДЕНС;RDM_2109048741;г. Москва, ул. Летная, влд. 95Б, Блок 10-С,Е, корпус 6;30.09.2022 0:00:00;30.06.2023 0:00:00
ООО СЗ СУ-5 АКСАЙ;RDM_0731412166;Ростовская область, город Аксай, улица Строителей, 9, жилое здание позиция 9.2;31.03.2024 0:00:00;31.03.2024 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТПУ УЛИЦА ДМИТРИЕВСКОГО 2;RDM_1464922213;г. Москва, ВАО, район Косино-Ухтомский, ул. Наташи Качуевской, вл. 3 (2-ая очередь), кадастровый номер з/у 77:03:0010008:27468;31.12.2021 0:00:00;
АО МОСОТДЕЛСТРОЙ № 1;RDM_0230260727;г. Москва, ЮАО, ул. 6-я Радиальная, вл. 7, корпус 31;;31.05.2023 0:00:00
ООО СЗ СТРОЙНАФТА;RDM_1474176435;г. Москва, п. Сосенское, на земельных участках с кадастровым номером 50:21:0120303:1055, 50:21:0120303:1056, 50:21:0120303:1057;30.06.2022 0:00:00;30.09.2022 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АТМОСФЕРА;RDM_1710339629;Свердловская область, город Екатеринбург, пр-кт Космонавтов, дом 26, жилой дом (№1 по ПЗУ);30.09.2022 0:00:00;
ООО СтройТехИнвест;;Московская область, г. Одинцово, микрорайон 7-7А, корпус Б, кадастровый номер земельного участка 50:20:0030107:30;;
АО Затонское;464;Московская область, Красногорский район, вблизи города Красногорска, корп. 20;30.06.2021 0:00:00;30.06.2023 0:00:00
АО СЗ Вектор Недвижимости;RDM_1095937111;Российская Федерация, Московская область, город Одинцово, улица Маковского, вл. 28;31.12.2022 0:00:00;31.03.2023 0:00:00
ООО РЕГИОНИНВЕСТ;01625;Московская область, Люберецкий район, г. Люберцы, ул. 8 Марта, корп. 3;31.03.2022 0:00:00;
ООО АДМ;00783;г.Москва, ул.Адмирала Макарова, вл.6, корп.6;31.03.2022 0:00:00;30.06.2023 0:00:00
ООО СЗ СТРОЙ-РЕСУРС;RDM_2788059739;Московская область, городской округ Красногорск, вблизи п. Светлые Горы, жилой дом поз. 3, з/у с кадастровым № 50:11:0020218:1236;31.03.2023 0:00:00;
